x	y	new_x	new_y	pixel_x	pixel_y
22	38	21.97	38.01	1237.47	1849.97
23	37	22.99	37.05	1274.21	1811.73
23	39	22.96	39.05	1272.94	1891.66
23	41	22.96	41.07	1272.98	1972.58
24	34	23.99	34.07	1310.01	1692.14
24	36	23.97	36.04	1309.51	1771.28
24	38	23.94	38.01	1308.53	1849.9
24	40	23.92	40.06	1307.71	1932.26
24	42	23.99	42.06	1310.34	2012.57
25	21	25.02	21.07	1347.27	1171.04
25	23	25	23.07	1346.54	1251.12
25	25	25	25.04	1346.47	1330.1
25	27	25.01	27.07	1347.11	1411.64
25	29	25.05	29.03	1348.39	1489.93
25	31	25.01	31.03	1346.98	1570.12
25	33	24.96	33.06	1345.31	1651.67
25	35	24.98	35.05	1345.75	1731.45
25	37	24.99	37.06	1346.3	1811.92
25	39	24.92	39.05	1343.8	1891.75
25	41	24.98	41.06	1345.98	1972.21
25	43	24.96	43.06	1345.1	2052.58
26	20	26.02	20.02	1383.4	1128.96
26	22	25.97	21.98	1381.56	1207.51
26	24	25.99	24.01	1382.39	1288.99
26	26	26.02	26.01	1383.21	1369.18
26	28	26.01	28.01	1383.14	1449.29
26	30	25.98	30.01	1381.77	1529.22
26	32	25.98	31.99	1381.81	1608.82
26	34	25.99	34.01	1382.19	1689.76
26	36	26	36.01	1382.54	1769.88
26	38	25.98	38.02	1382	1850.46
26	40	25.97	40	1381.49	1929.94
26	42	25.99	41.99	1382.4	2009.76
26	44	26.02	44.02	1383.27	2090.83
26	46	26	45.99	1382.52	2170.09
26	48	25.97	47.98	1381.67	2249.83
26	50	25.99	49.99	1382.3	2330.52
27	17	27	17.04	1418.7	1009.35
27	19	27.03	19.02	1419.8	1088.91
27	21	27.01	21.01	1419.1	1168.62
27	23	27	23.01	1418.64	1248.62
27	25	27	25.01	1418.9	1329.02
27	27	27.02	27.02	1419.46	1409.31
27	29	27.02	29.01	1419.63	1489.24
27	31	26.99	30.99	1418.22	1568.85
27	33	27.02	33.02	1419.64	1649.96
27	35	27	34.99	1418.82	1729.02
27	37	27.02	37	1419.55	1809.4
27	39	26.95	39.01	1416.79	1890.33
