x	y	x_new	y_new	pixel_x	pixel_y
10	13	9.8954	12.8542	5150	4447
10	14	9.9013	13.9457	5152	4843
10	15	9.9325	14.8565	5160	5172
10	16	9.9325	15.8697	5160	5541
10	17	9.9129	16.9099	5156	5920
10	18	9.9381	17.8117	5165	6248
10	19	9.9202	18.9484	5159	6661
10	20	9.9725	19.8875	5178	7003
10	21	9.9553	20.892	5172	7368
10	22	9.9812	21.944	5181	7750
10	23	9.918	22.9482	5158	8115
10	24	9.9325	23.89	5160	8457
10	25	10.0591	24.8965	5209	8823
10	26	10.0376	25.8611	5202	9173
10	27	9.9956	26.9537	5186	9570
10	28	9.9325	27.91	5160	9914
10	29	10.0294	28.8876	5199	10273
10	30	10.0392	29.9717	5202	10667
10	31	10.0387	30.9013	5202	11005
11	13	10.93	12.8631	5526	4450
11	14	10.9409	13.9172	5530	4829
11	15	10.9409	14.8565	5535	5182
11	16	10.9409	15.8697	5530	5541
11	17	10.9409	16.8877	5530	5910
11	18	10.9636	17.8914	5539	6277
11	19	10.9409	18.8677	5505	6647
11	20	10.9409	19.9003	5513	7018
11	21	10.9409	20.8996	5530	7368
11	22	10.9691	21.8694	5541	7723
11	23	11.0253	22.8853	5561	8092
11	24	10.988	23.8933	5548	8458
11	25	11.0134	24.9105	5557	8828
11	26	10.9409	25.8932	5530	9184
11	27	11.0643	26.9413	5575	9566
11	28	10.9409	27.91	5530	9914
11	29	10.9766	28.8863	5543	10273
11	30	10.9409	29.9361	5530	10652
12	13	12.0922	12.8611	5948	4449
12	14	12.0069	13.8963	5918	4825
12	15	12.0914	14.8936	5949	5188
12	16	12.0976	15.8769	5951	5545
12	17	12.0854	16.9125	5947	5921
12	18	12.0922	17.8733	5948	6268
12	19	12.1128	18.9163	5957	6650
12	20	12.0922	19.9003	5948	7006
12	21	12.1484	20.9153	5970	7376
12	22	12.0922	21.8879	5948	7726
12	23	12.1452	22.8812	5969	8090
12	24	12.0922	23.89	5948	8457
12	25	12.0922	24.9004	5934	8845
12	26	12.1768	25.9218	5980	9195
12	27	12.0922	26.9011	5948	9549
12	28	12.1677	27.9723	5977	9941
12	29	12.0922	28.9037	5948	10276
13	13	12.9586	12.8784	6265	4455
13	14	12.9677	13.8946	6268	4825
13	15	12.9645	14.8831	6267	5184
13	16	12.9702	15.8842	6269	5548
13	17	13.0132	16.8877	6283	5910
13	18	13.0234	17.8834	6288	6274
13	19	13.0269	18.892	6290	6641
13	20	13.0189	19.9337	6287	7019
13	21	13.0132	20.8996	6283	7368
13	22	13.0895	21.9414	6312	7749
13	23	13.05	22.8937	6298	8095
13	24	13.0814	23.928	6309	8471
13	25	13.0603	24.9481	6302	8842
13	26	13.0527	25.9292	6299	9198
13	27	13.0132	26.9011	6283	9549
13	28	13.0775	27.9388	6308	9928
14	12	13.9843	11.8751	6638	4091
14	13	13.9622	12.9019	6630	4464
14	14	13.9648	13.9541	6631	4846
14	15	13.9757	14.9485	6635	5208
14	16	13.9833	15.9159	6638	5559
14	17	13.9389	16.964	6621	5940
14	18	13.9958	17.9614	6642	6303
14	19	14.0073	18.8677	6644	6630
14	20	14.0024	19.9706	6645	7033
14	21	14.0073	20.8996	6631	7349
14	22	14.0073	21.8879	6644	7726
14	23	14.0073	22.8777	6644	8087
14	24	14.0586	23.9318	6665	8472
14	25	14.0073	24.9004	6631	8850
14	26	14.0073	25.8932	6644	9184
15	12	14.9153	11.9023	6977	4101
15	13	14.929	13.0129	6982	4504
15	14	14.9988	13.9172	6983	4843
15	15	14.9988	14.8565	7006	5172
15	16	14.9766	15.9221	6999	5561
