within	spot	count
yes	10x13	54
yes	10x14	65
yes	10x15	52
yes	10x16	57
yes	10x17	61
yes	10x18	71
yes	10x19	84
yes	10x20	53
yes	10x21	40
yes	10x22	53
yes	10x23	56
yes	10x24	55
yes	10x25	13
yes	10x26	33
yes	10x27	7
yes	10x28	32
yes	10x29	20
yes	10x30	43
yes	10x31	60
yes	11x13	55
yes	11x14	53
yes	11x15	102
yes	11x16	56
yes	11x17	57
yes	11x18	78
yes	11x19	41
yes	11x20	42
yes	11x21	51
yes	11x22	65
yes	11x23	62
yes	11x24	31
yes	11x25	30
yes	11x26	11
yes	11x27	7
yes	11x28	5
yes	11x29	26
yes	11x30	57
yes	12x13	20
yes	12x14	65
yes	12x15	79
yes	12x16	29
yes	12x17	53
yes	12x18	64
yes	12x19	60
yes	12x20	58
yes	12x21	51
yes	12x22	50
yes	12x23	81
yes	12x24	36
yes	12x25	2
yes	12x26	1
yes	12x27	3
yes	12x28	47
yes	12x29	19
yes	13x13	44
yes	13x14	65
yes	13x15	77
yes	13x16	47
yes	13x17	63
yes	13x18	66
yes	13x19	65
yes	13x20	58
yes	13x21	72
yes	13x22	72
yes	13x23	66
yes	13x24	33
yes	13x25	40
yes	13x26	42
yes	13x27	49
yes	13x28	12
yes	14x12	7
yes	14x13	10
yes	14x14	49
yes	14x15	26
yes	14x16	46
yes	14x17	55
yes	14x18	55
yes	14x19	65
yes	14x20	66
yes	14x21	84
yes	14x22	59
yes	14x23	71
yes	14x24	34
yes	14x25	18
yes	14x26	24
yes	15x12	11
yes	15x13	47
yes	15x14	21
yes	15x15	45
yes	15x16	33
yes	15x17	47
yes	15x18	78
yes	15x19	56
yes	15x20	70
yes	15x21	77
yes	15x22	74
yes	15x23	47
yes	16x12	21
yes	16x13	21
yes	16x14	84
yes	16x15	105
yes	16x16	44
yes	16x17	39
yes	16x18	58
yes	16x19	67
yes	16x20	61
yes	16x21	82
yes	16x22	68
yes	17x12	13
yes	17x13	30
yes	17x14	22
yes	17x15	39
yes	17x16	32
yes	17x17	58
yes	17x18	26
yes	17x19	79
yes	17x20	51
yes	17x21	71
yes	18x12	34
yes	18x13	70
yes	18x14	26
yes	18x15	64
yes	18x16	74
yes	18x17	79
yes	18x18	57
yes	18x19	31
yes	19x12	29
yes	19x13	28
yes	19x14	68
yes	19x15	76
yes	19x16	73
yes	19x17	51
yes	19x18	37
yes	20x12	36
yes	20x13	44
yes	20x14	71
yes	20x15	28
yes	20x16	13
yes	20x17	8
yes	21x12	9
yes	21x13	33
yes	21x14	79
yes	21x15	61
yes	22x11	2
yes	22x12	17
yes	22x13	65
yes	22x14	90
yes	22x15	8
yes	23x11	27
yes	23x12	76
yes	23x13	116
yes	23x14	35
yes	24x11	36
yes	24x12	131
yes	24x13	67
yes	24x14	43
yes	25x11	11
yes	25x12	39
yes	25x13	41
yes	26x10	30
yes	26x11	14
yes	26x12	32
yes	27x10	18
yes	27x11	12
yes	27x8	22
yes	27x9	12
yes	28x6	20
yes	28x7	21
yes	28x8	25
yes	29x5	29
yes	29x6	22
yes	29x7	23
yes	30x5	17
yes	3x23	40
yes	3x24	23
yes	3x25	33
yes	3x26	6
yes	3x27	18
yes	3x29	55
yes	3x30	28
yes	3x31	42
yes	3x32	37
yes	3x33	9
yes	3x34	21
yes	4x21	16
yes	4x22	28
yes	4x23	46
yes	4x24	72
yes	4x25	38
yes	4x26	23
yes	4x27	57
yes	4x28	47
yes	4x29	38
yes	4x30	64
yes	4x31	30
yes	4x32	22
yes	4x33	56
yes	4x34	2
yes	5x20	12
yes	5x21	38
yes	5x22	46
yes	5x23	64
yes	5x24	49
yes	5x25	40
yes	5x26	42
yes	5x27	61
yes	5x28	69
yes	5x29	74
yes	5x30	55
yes	5x31	7
yes	5x32	7
yes	5x33	34
yes	6x16	45
yes	6x19	2
yes	6x20	40
yes	6x21	81
yes	6x22	40
yes	6x23	51
yes	6x24	75
yes	6x25	45
yes	6x26	27
yes	6x27	60
yes	6x28	49
yes	6x29	54
yes	6x30	53
yes	6x31	15
yes	6x32	10
yes	7x15	41
yes	7x16	60
yes	7x17	71
yes	7x18	34
yes	7x19	40
yes	7x20	52
yes	7x21	55
yes	7x22	65
yes	7x23	43
yes	7x24	68
yes	7x25	53
yes	7x26	32
yes	7x27	49
yes	7x28	47
yes	7x29	29
yes	7x30	43
yes	7x31	30
yes	7x32	12
yes	8x14	6
yes	8x15	82
yes	8x16	35
yes	8x17	37
yes	8x18	53
yes	8x19	60
yes	8x20	35
yes	8x21	23
yes	8x22	72
yes	8x23	79
yes	8x24	64
yes	8x25	56
yes	8x26	44
yes	8x27	36
yes	8x28	25
yes	8x29	3
yes	8x30	46
yes	8x31	7
yes	9x14	39
yes	9x15	54
yes	9x16	73
yes	9x17	74
yes	9x18	57
yes	9x19	78
yes	9x20	62
yes	9x21	55
yes	9x22	57
yes	9x23	58
yes	9x24	66
yes	9x25	54
yes	9x26	27
yes	9x27	15
yes	9x28	27
yes	9x29	10
yes	9x30	25
