within	spot	count
yes	22x38	44
yes	23x37	62
yes	23x39	54
yes	23x41	5
yes	24x34	42
yes	24x36	54
yes	24x38	55
yes	24x40	54
yes	24x42	32
yes	25x21	27
yes	25x23	63
yes	25x25	37
yes	25x27	52
yes	25x29	34
yes	25x31	73
yes	25x33	93
yes	25x35	68
yes	25x37	50
yes	25x39	67
yes	25x41	58
yes	25x43	33
yes	26x20	20
yes	26x22	92
yes	26x24	74
yes	26x26	74
yes	26x28	104
yes	26x30	84
yes	26x32	77
yes	26x34	95
yes	26x36	72
yes	26x38	19
yes	26x40	58
yes	26x42	27
yes	26x44	47
yes	26x46	16
yes	26x48	75
yes	26x50	8
yes	27x17	28
yes	27x19	63
yes	27x21	65
yes	27x23	55
yes	27x25	64
yes	27x27	54
yes	27x29	64
yes	27x31	55
yes	27x33	44
yes	27x35	84
yes	27x37	93
yes	27x39	6
yes	27x41	9
yes	27x43	34
yes	27x45	52
yes	27x47	42
yes	27x49	28
yes	27x51	67
yes	28x16	25
yes	28x18	74
yes	28x20	60
yes	28x22	70
yes	28x24	69
yes	28x26	70
yes	28x28	50
yes	28x30	46
yes	28x32	41
yes	28x34	48
yes	28x36	25
yes	28x38	72
yes	28x40	60
yes	28x42	65
yes	28x44	31
yes	28x46	45
yes	28x48	37
yes	28x50	29
yes	28x52	19
yes	29x15	75
yes	29x17	31
yes	29x19	51
yes	29x21	63
yes	29x23	75
yes	29x25	41
yes	29x27	74
yes	29x29	53
yes	29x31	45
yes	29x33	58
yes	29x35	53
yes	29x37	48
yes	29x39	55
yes	29x41	41
yes	29x43	80
yes	29x45	28
yes	29x47	36
yes	29x49	32
yes	29x51	36
yes	29x53	7
yes	30x12	2
yes	30x14	47
yes	30x16	66
yes	30x18	84
yes	30x20	79
yes	30x22	60
yes	30x24	60
yes	30x26	89
yes	30x28	38
yes	30x30	70
yes	30x32	54
yes	30x34	57
yes	30x36	46
yes	30x38	53
yes	30x40	49
yes	30x42	51
yes	30x44	65
yes	30x46	55
yes	30x48	46
yes	30x50	57
yes	30x52	38
yes	31x13	51
yes	31x15	70
yes	31x17	60
yes	31x19	53
yes	31x21	58
yes	31x23	58
yes	31x25	54
yes	31x27	61
yes	31x29	47
yes	31x31	54
yes	31x33	44
yes	31x35	49
yes	31x37	54
yes	31x39	64
yes	31x41	52
yes	31x43	44
yes	31x45	83
yes	31x47	73
yes	31x49	72
yes	31x51	30
yes	31x53	37
yes	31x55	8
yes	32x12	2
yes	32x14	54
yes	32x16	64
yes	32x18	59
yes	32x20	56
yes	32x22	69
yes	32x24	72
yes	32x26	107
yes	32x28	68
yes	32x30	78
yes	32x32	54
yes	32x34	73
yes	32x36	32
yes	32x38	52
yes	32x40	45
yes	32x42	51
yes	32x44	36
yes	32x46	50
yes	32x48	56
yes	32x50	79
yes	32x52	76
yes	32x54	92
yes	33x13	59
yes	33x15	47
yes	33x17	61
yes	33x19	73
yes	33x21	65
yes	33x23	87
yes	33x25	73
yes	33x27	72
yes	33x29	63
yes	33x31	72
yes	33x33	62
yes	33x35	60
yes	33x37	60
yes	33x39	68
yes	33x41	69
yes	33x43	59
yes	33x45	62
yes	33x47	56
yes	33x49	76
yes	33x51	65
yes	33x53	66
yes	33x55	52
yes	34x14	72
yes	34x16	37
yes	34x18	53
yes	34x20	60
yes	34x22	67
yes	34x24	73
yes	34x26	64
yes	34x28	65
yes	34x30	60
yes	34x32	72
yes	34x34	66
yes	34x36	64
yes	34x38	54
yes	34x40	67
yes	34x42	56
yes	34x44	52
yes	34x46	52
yes	34x48	41
yes	34x50	41
yes	34x52	70
yes	34x54	59
yes	35x15	76
yes	35x17	51
yes	35x19	87
yes	35x21	53
yes	35x23	91
yes	35x25	60
yes	35x27	82
yes	35x29	61
yes	35x31	61
yes	35x33	71
yes	35x35	68
yes	35x37	65
yes	35x39	83
yes	35x41	56
yes	35x43	49
yes	35x45	52
yes	35x47	47
yes	35x49	37
yes	35x51	63
yes	35x53	15
yes	36x14	38
yes	36x16	53
yes	36x18	57
yes	36x20	53
yes	36x22	75
yes	36x24	88
yes	36x26	94
yes	36x28	87
yes	36x30	64
yes	36x32	75
yes	36x34	96
yes	36x36	62
yes	36x38	56
yes	36x40	56
yes	36x42	71
yes	36x44	40
yes	36x46	53
yes	36x48	47
yes	36x50	41
yes	36x52	14
yes	37x15	72
yes	37x17	60
yes	37x19	71
yes	37x21	75
yes	37x23	72
yes	37x25	98
yes	37x27	108
yes	37x29	96
yes	37x31	94
yes	37x33	73
yes	37x35	82
yes	37x37	68
yes	37x39	62
yes	37x41	49
yes	37x43	46
yes	37x45	55
yes	37x47	53
yes	37x49	41
yes	37x51	39
yes	37x53	32
yes	38x14	14
yes	38x16	58
yes	38x18	52
yes	38x20	52
yes	38x22	63
yes	38x24	87
yes	38x26	100
yes	38x28	75
yes	38x30	85
yes	38x32	92
yes	38x34	79
yes	38x36	75
yes	38x38	65
yes	38x40	69
yes	38x42	72
yes	38x44	57
yes	38x46	47
yes	38x48	47
yes	38x50	38
yes	38x52	55
yes	39x15	58
yes	39x17	52
yes	39x19	71
yes	39x21	68
yes	39x23	87
yes	39x25	78
yes	39x27	75
yes	39x29	73
yes	39x31	71
yes	39x33	84
yes	39x35	84
yes	39x37	64
yes	39x39	58
yes	39x41	63
yes	39x43	42
yes	39x45	19
yes	39x47	36
yes	39x49	46
yes	39x51	46
yes	39x53	52
yes	40x16	68
yes	40x18	54
yes	40x20	51
yes	40x22	82
yes	40x24	79
yes	40x26	84
yes	40x28	68
yes	40x30	109
yes	40x32	64
yes	40x34	76
yes	40x36	79
yes	40x38	73
yes	40x40	69
yes	40x42	51
yes	40x44	49
yes	40x46	34
yes	40x48	38
yes	40x50	15
yes	40x52	54
yes	41x17	48
yes	41x19	50
yes	41x21	67
yes	41x23	69
yes	41x25	57
yes	41x27	88
yes	41x29	53
yes	41x31	74
yes	41x33	44
yes	41x35	58
yes	41x37	58
yes	41x39	50
yes	41x41	73
yes	41x43	47
yes	41x45	71
yes	41x47	40
yes	41x49	36
yes	41x51	42
yes	42x16	28
yes	42x18	56
yes	42x20	61
yes	42x22	52
yes	42x24	23
yes	42x26	74
yes	42x28	83
yes	42x30	62
yes	42x32	55
yes	42x34	60
yes	42x36	52
yes	42x38	49
yes	42x40	58
yes	42x42	43
yes	42x44	31
yes	42x46	38
yes	42x48	25
yes	42x50	13
yes	43x17	66
yes	43x19	41
yes	43x21	51
yes	43x23	53
yes	43x25	62
yes	43x27	77
yes	43x29	60
yes	43x31	60
yes	43x33	53
yes	43x35	42
yes	43x37	35
yes	43x39	52
yes	43x41	31
yes	43x43	6
yes	43x45	37
yes	43x47	48
yes	43x49	16
yes	44x18	75
yes	44x20	67
yes	44x22	55
yes	44x24	46
yes	44x26	89
yes	44x28	58
yes	44x30	59
yes	44x32	62
yes	44x34	44
yes	44x36	52
yes	44x38	61
yes	44x40	45
yes	44x42	55
yes	44x44	38
yes	45x19	60
yes	45x21	40
yes	45x23	77
yes	45x25	73
yes	45x27	97
yes	45x29	65
yes	45x31	74
yes	45x33	54
yes	45x35	80
yes	45x37	61
yes	45x39	65
yes	45x41	41
yes	45x43	20
yes	46x18	16
yes	46x20	70
yes	46x22	38
yes	46x24	62
yes	46x26	95
yes	46x28	77
yes	46x30	51
yes	46x32	83
yes	46x34	75
yes	46x36	63
yes	46x38	67
yes	46x40	61
yes	46x42	49
yes	46x44	17
yes	47x19	47
yes	47x21	49
yes	47x23	91
yes	47x25	78
yes	47x27	58
yes	47x29	36
yes	47x31	59
yes	47x33	52
yes	47x35	43
yes	47x37	69
yes	47x39	64
yes	47x41	71
yes	47x43	51
yes	48x20	36
yes	48x22	29
yes	48x24	53
yes	48x26	62
yes	48x28	54
yes	48x30	57
yes	48x32	59
yes	48x34	57
yes	48x36	39
yes	48x38	78
yes	48x40	50
yes	48x42	1
yes	49x21	51
yes	49x23	40
yes	49x25	39
yes	49x27	60
yes	49x29	80
yes	49x31	65
yes	49x33	36
yes	49x35	38
yes	49x37	56
yes	49x39	67
yes	49x41	17
yes	50x22	13
yes	50x24	19
yes	50x26	70
yes	50x28	57
yes	50x30	66
yes	50x32	61
yes	50x34	48
yes	50x36	62
yes	50x38	46
yes	51x23	61
yes	51x25	48
yes	51x27	54
yes	51x29	49
yes	51x31	44
yes	51x33	49
yes	51x35	66
yes	51x37	39
yes	52x22	43
yes	52x24	53
yes	52x26	53
yes	52x28	53
yes	52x30	66
yes	52x32	28
yes	52x34	10
yes	53x23	16
yes	53x25	47
yes	53x27	59
yes	53x29	50
yes	53x31	15
yes	54x24	12
yes	54x26	47
yes	54x28	47
yes	54x30	10
yes	55x25	9
yes	55x27	68
yes	55x29	7
